,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POS,VARIACION,,JUGADOR,PUNTOS,HCP,TORNEOS,PROCEDENCIA,TARJETA 15,PUNTOS QUE PIERDE,TARJETA 16,,,,,,,,,,,,,,,,,,,,,CAMBIOS
LOPEZ OSORNIO MAURICIO,115,?,0,PIRCHIO BRUNO (37),427.35,9,4,CASILDA (SF),0.00,0.00,0.00,48,,,,,,,,,,,,,,,,,,,,0
ACOSTA JOSE LUIS (BA),116,?,0,MATITTI PABLO EMANUEL (37),425.66,10,14,BAHIA BLANCA (BA),0.00,0.00,0.00,23,,,,,,,,,,,,,,,,,,,,0
OHACO NORBERTO,117,?,0,LEFFLER RUBEN DARIO (40),421.15,2,5,DEL VISO (BA),0.00,0.00,0.00,40,,,,,,,,,,,,,,,,,,,,0
PEREYRA JUAN MANUEL,118,?,0,PALFERRO MATIAS (40),420.76,5,7,GRAL ROCA (RN),0.00,0.00,0.00,51,,,,,,,,,,,,,,,,,,,,0
CHAVES JULIAN,119,?,0,NAZ JOAQUIN (29),411.32,4,9,MARIA JUANA (SF),0.00,0.00,0.00,28,,,,,,,,,,,,,,,,,,,,0
CARROSSIO RICARDO,120,?,0,VULCANO GERARDO (42),400.53,7,11,TANDIL (BA),0.00,0.00,0.00,41,,,,,,,,,,,,,,,,,,,,0
SANTILLAN SERGIO ANDRES,121,?,0,MACEDA ANDRES EZEQUIEL (36),394.95,7,10,SAN JORGE (SF),0.00,0.00,0.00,36,,,,,,,,,,,,,,,,,,,,0
ARANA JUAN PABLO,122,?,0,ALBE ANIBAL (42),393.43,6,10,CAÑADA DE GOMEZ (SF),0.00,0.00,0.00,40,,,,,,,,,,,,,,,,,,,,0
VEIGA RUBEN,123,?,0,BARBER DIEGO (46),393.17,12,7,ARRECIFES (BA),0.00,0.00,0.00,44,,,,,,,,,,,,,,,,,,,,0
SEERY MATIAS IGNACIO,124,?,0,RAGGIO MARIANO EZEQUIEL (33),392.68,3,6,MAR DEL PLATA (BA),0.00,0.00,0.00,47,,,,,,,,,,,,,,,,,,,,0
PERNIA OMAR,125,?,0,SPERANZA CARLOS (33),391.56,7,9,TANDIL (BA),0.00,0.00,0.00,33,,,,,,,,,,,,,,,,,,,,0
FERNANDEZ ANDRES,126,?,0,ZEPEDA LUIS (33),391.50,9,7,TANDIL (BA),0.00,0.00,0.00,36,,,,,,,,,,,,,,,,,,,,0
PASCHETTA MARIANO,127,?,0,DEZZUTTO ANDRES (38),385.80,6,9,CASAS (SF),0.00,0.00,0.00,37,,,,,,,,,,,,,,,,,,,,0
LEONCINI DAVID,128,?,0,GAYONE GERARDO (42),384.82,9,7,GRAL ROCA (RN),0.00,0.00,0.00,47,,,,,,,,,,,,,,,,,,,,0
SANCHEZ HUGO,129,?,0,CAJAL PABLO EZEQUIEL (30),377.50,7,9,SALDUNGARAY (BA),0.00,0.00,0.00,36,,,,,,,,,,,,,,,,,,,,0
SANCHEZ HUGO,130,?,0,TOTH SERGIO (56),350.56,4,2,TANDIL (BA),0.00,0.00,0.00,33,,,,,,,,,,,,,,,,,,,,0
SOLANAS AGUSTIN,131,?,0,MARCHESE RODRIGO (33),348.05,7,7,BAHIA BLANCA (BA),0.00,25.37,0.00,45,,,,,,,,,,,,,,,,,,,,0
TRYBUCHOWICZ ANDRES,132,?,0,THEUS JOSE MANUEL (45),346.61,11,12,CORONEL PRINGLES (BA),0.00,0.00,0.00,42,,,,,,,,,,,,,,,,,,,,0
CHACON GUILLERMO,133,?,0,DI LUCA CRISTIAN (40),346.15,7,9,BUENOS AIRES (BA),0.00,0.00,0.00,49,,,,,,,,,,,,,,,,,,,,0
WASINGER JOSE,134,?,0,CEGNA ALEJANDRO (37),345.39,9,12,LOS CARDOS (SF),0.00,0.00,0.00,54,,,,,,,,,,,,,,,,,,,,0
MACEDA ANDRES EZEQUIEL,135,?,0,VARGAS LUCIANO (37),344.06,12,11,BAHIA BLANCA (BA),0.00,15.38,0.00,52,,,,,,,,,,,,,,,,,,,,0
GOMEZ EDGARDO FABIAN,136,?,0,BEIZA FLAVIO (47),342.29,13,7,V. LA ANGOSTURA (NE),0.00,10.19,0.00,39,,,,,,,,,,,,,,,,,,,,0
DEL RIO SEBASTIAN,137,?,0,ROHLMANN FERNANDO (35),338.81,10,4,SALDUNGARAY (BA),0.00,0.00,0.00,34,,,,,,,,,,,,,,,,,,,,0
ROSAS JUAN MANUEL,138,?,0,PEREZ FABRICIO (42),338.68,8,6,SANTA ROSA  (LP),0.00,58.40,0.00,37,,,,,,,,,,,,,,,,,,,,0
SARE NEGRI EZEQUIEL,139,?,0,FORNILLO MAURICIO (56),329.74,7,7,MAR DEL PLATA (BA),0.00,0.00,0.00,38,,,,,,,,,,,,,,,,,,,,0
FERNANDEZ ALFREDO,140,?,0,GHEZZI ROBERTO (50),325.60,6,3,TANDIL (BA),0.00,0.00,0.00,45,,,,,,,,,,,,,,,,,,,,0
NEBBIA FRANCO,141,?,0,PECASTAING ALEJANDRA (51),310.46,19,15,BAHIA BLANCA (BA),11.98,0.00,11.44,52,,,,,,,,,,,,,,,,,,,,0
